FrameID,Head_x,Head_y,Beak_x,Beak_y,Robot_x,Robot_y,Robot_visible
685,431.5802001953125,804.1336059570312,445.9163818359375,820.810546875,871.802490234375,871.802490234375,y
686,431.73736572265625,803.8789672851562,446.2010498046875,820.4136352539062,868.7946166992188,868.7946166992188,y
687,431.883056640625,803.8145141601562,444.5579223632813,820.3607177734375,868.7271728515625,868.7271728515625,y
688,432.5645446777344,803.461669921875,447.2464294433594,819.8582153320312,871.7020263671875,871.7020263671875,y
689,431.9157104492188,803.7598876953125,444.5010681152344,820.3300170898438,871.6526489257812,871.6526489257812,y
690,431.8067321777344,803.5477294921875,446.3370971679688,820.01953125,868.69677734375,868.69677734375,y
691,432.3176574707031,803.5716552734375,446.685546875,820.0927734375,871.7439575195312,871.7439575195312,y
693,424.55218505859375,779.9778442382812,433.1347961425781,764.4713134765625,868.5347900390625,868.5347900390625,y
694,424.0308532714844,776.8814697265625,431.9249267578125,764.4978637695312,868.7297973632812,868.7297973632812,y
695,423.7328186035156,777.0866088867188,431.6423645019531,764.6950073242188,868.7718505859375,868.7718505859375,y
696,421.1474914550781,780.0050659179688,429.4674987792969,764.1272583007812,871.9111328125,871.9111328125,y
697,421.3721618652344,779.4345703125,429.59515380859375,763.7573852539062,871.6265258789062,871.6265258789062,y
698,421.2315979003906,779.6646728515625,429.5193481445313,763.82666015625,868.91162109375,868.91162109375,y
699,421.2359619140625,779.4876098632812,429.52642822265625,763.7451782226562,871.6492919921875,871.6492919921875,y
700,421.3230285644531,779.4686889648438,429.6272583007813,763.7517700195312,871.8602294921875,871.8602294921875,y
701,420.96527099609375,779.528076171875,429.22991943359375,763.8135375976562,871.9121704101562,871.9121704101562,y
702,421.0823669433594,776.9699096679688,429.4242858886719,764.6918334960938,872.1090698242188,872.1090698242188,y
703,421.0756530761719,777.0238037109375,429.4209289550781,764.76953125,871.8711547851562,871.8711547851562,y
704,420.5983276367188,776.7315063476562,428.5993957519531,764.4862670898438,868.8675537109375,868.8675537109375,y
731,416.5819396972656,775.656494140625,424.5475463867188,759.96826171875,868.5803833007812,868.5803833007812,y
732,416.5343933105469,776.1368408203125,424.4128112792969,760.411865234375,868.6502075195312,868.6502075195312,y
734,416.9272766113281,776.4248046875,424.7119445800781,760.8728637695312,868.8111572265625,868.8111572265625,y
738,416.3339538574219,776.5830688476562,424.25494384765625,761.0771484375,868.7867431640625,868.7867431640625,y
